mukey,muname,cokey,compname,comppct_r,drainagecl,hzname,hzdept_r,hzdepb_r,awc_r,claytotal_r,texcl
458924,"Aiken loam, 2 to 15 percent slopes",26691477,Aiken,85,Well drained,H1,0,20,0.15,23.5,Loam
458924,"Aiken loam, 2 to 15 percent slopes",26691477,Aiken,85,Well drained,H2,20,36,0.16,33.5,Clay loam
458924,"Aiken loam, 2 to 15 percent slopes",26691477,Aiken,85,Well drained,H3,36,112,0.18,45,Clay
458924,"Aiken loam, 2 to 15 percent slopes",26691477,Aiken,85,Well drained,H4,112,137,0,,
458925,"Aiken loam, 15 to 30 percent slopes",26691478,Aiken,85,Well drained,H1,0,20,0.15,23.5,Loam
458925,"Aiken loam, 15 to 30 percent slopes",26691478,Aiken,85,Well drained,H2,20,36,0.16,33.5,Clay loam
458925,"Aiken loam, 15 to 30 percent slopes",26691478,Aiken,85,Well drained,H3,36,112,0.18,45,Clay
458925,"Aiken loam, 15 to 30 percent slopes",26691478,Aiken,85,Well drained,H4,112,137,0,,
458926,"Aiken loam, 30 to 50 percent slopes",26691479,Aiken,85,Well drained,H1,0,20,0.15,23.5,Loam
458926,"Aiken loam, 30 to 50 percent slopes",26691479,Aiken,85,Well drained,H2,20,36,0.16,33.5,Clay loam
458926,"Aiken loam, 30 to 50 percent slopes",26691479,Aiken,85,Well drained,H3,36,112,0.18,45,Clay
458926,"Aiken loam, 30 to 50 percent slopes",26691479,Aiken,85,Well drained,H4,112,137,0,,
458927,"Bale loam, 0 to 2 percent slopes",26691481,Bale,85,Somewhat poorly drained,H1,0,61,0.15,21.5,Loam
458927,"Bale loam, 0 to 2 percent slopes",26691481,Bale,85,Somewhat poorly drained,H2,61,152,0.1,13,Sandy loam
458927,"Bale loam, 0 to 2 percent slopes",26691481,Bale,85,Somewhat poorly drained,H2,61,152,0.1,13,Loam
458928,"Bale clay loam, 0 to 2 percent slopes",26691482,Bale,85,Somewhat poorly drained,H1,0,61,0.15,31,Clay loam
458928,"Bale clay loam, 0 to 2 percent slopes",26691482,Bale,85,Somewhat poorly drained,H2,61,152,0.1,18,Sandy loam
458928,"Bale clay loam, 0 to 2 percent slopes",26691482,Bale,85,Somewhat poorly drained,H2,61,152,0.1,18,Loam
458929,"Bale clay loam, 2 to 5 percent slopes",26691484,Bale,85,Somewhat poorly drained,H1,0,61,0.15,31,Clay loam
458929,"Bale clay loam, 2 to 5 percent slopes",26691484,Bale,85,Somewhat poorly drained,H2,61,152,0.1,18,Sandy loam
458929,"Bale clay loam, 2 to 5 percent slopes",26691484,Bale,85,Somewhat poorly drained,H2,61,152,0.1,18,Loam
458930,"Bale complex, 0 to 2 percent slopes, seeped",26691485,Bale,40,Somewhat poorly drained,H1,0,61,0.14,21.5,Loam
458930,"Bale complex, 0 to 2 percent slopes, seeped",26691485,Bale,40,Somewhat poorly drained,H2,61,152,0.1,18,Sandy loam
458930,"Bale complex, 0 to 2 percent slopes, seeped",26691485,Bale,40,Somewhat poorly drained,H2,61,152,0.1,18,Loam
458930,"Bale complex, 0 to 2 percent slopes, seeped",26691486,Bale,30,Somewhat poorly drained,H1,0,61,0.14,31,Clay loam
458930,"Bale complex, 0 to 2 percent slopes, seeped",26691486,Bale,30,Somewhat poorly drained,H2,61,152,0.14,18,Sandy loam
458930,"Bale complex, 0 to 2 percent slopes, seeped",26691486,Bale,30,Somewhat poorly drained,H2,61,152,0.14,18,Loam
458931,"Boomer loam, volcanic bedrock, 2 to 35 percent slopes, MLRA 15",26691490,Boomer,85,Well drained,Oi,0,5,0,15,
458931,"Boomer loam, volcanic bedrock, 2 to 35 percent slopes, MLRA 15",26691490,Boomer,85,Well drained,A,5,15,0.2,20,Loam
458931,"Boomer loam, volcanic bedrock, 2 to 35 percent slopes, MLRA 15",26691490,Boomer,85,Well drained,BAt,15,33,0.18,26,Loam
